,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Team,FK - FD
70,Boostio,killjoy ,89,0.98,205.3,1.07,75%,135.8,0.73,0.16,0.04,0.08,22%,13%,2/15,20,65,61,14,4,7,100T,-3
71,Fit1nho,jett raze ,97,0.98,203.4,1.04,71%,140.2,0.74,0.19,0.18,0.14,25%,,0/7,35,72,69,18,17,14,GX,3
72,stellar,killjoy cypher ,175,0.97,190.5,1.03,70%,134.4,0.70,0.24,0.06,0.10,20%,13%,3/24,25,123,119,42,10,17,TTR,-7
73,Mazino,omen astra brimstone ,125,0.97,185.7,1.0,66%,112.8,0.66,0.41,0.07,0.10,30%,25%,2/8,21,82,82,51,9,13,LEV,-4
74,C0M,fade sova kayo ,89,0.97,182.5,0.85,71%,113.3,0.63,0.61,0.07,0.10,13%,13%,1/8,16,56,66,54,6,9,LEV,-3
75,Yuicaw,killjoy chamber jett ,59,0.97,189.7,1.05,66%,131.7,0.71,0.12,0.05,0.20,22%,14%,1/7,20,42,40,7,3,12,WOL,-9
76,Jinggg,raze sage ,38,0.97,204.0,0.93,68%,156.9,0.71,0.21,0.03,0.08,20%,,0/5,16,27,29,8,1,3,PRX,-2
77,hoody,killjoy ,97,0.96,189.0,0.94,72%,135.4,0.63,0.16,0.06,0.08,23%,20%,2/10,17,61,65,16,6,8,GX,-2
78,QutionerX,yoru jett ,60,0.95,241.3,0.98,63%,149.1,0.85,0.12,0.18,0.20,30%,,0/5,23,51,52,7,11,12,BBL,-1
79,MrFaliN,omen killjoy sova ,107,0.95,200.6,0.82,70%,124.4,0.64,0.40,0.11,0.15,17%,17%,2/12,16,69,84,43,12,16,FUT,-4
80,AtaKaptan,sage astra breach ,107,0.95,162.4,0.9,75%,103.9,0.60,0.33,0.05,0.09,31%,25%,3/12,20,64,71,35,5,10,FUT,-5
81,sheydos,killjoy ,46,0.95,158.0,1.13,70%,106.9,0.59,0.13,0.04,0.09,24%,17%,1/6,17,27,24,6,2,4,KOI,-2
82,Victor,kayo killjoy skye ,184,0.95,182.8,0.84,74%,112.7,0.59,0.39,0.11,0.09,21%,19%,3/16,16,108,128,72,20,17,NRG,3
83,Crws,omen brimstone viper ,157,0.94,188.0,0.83,71%,124.6,0.61,0.41,0.11,0.09,23%,17%,2/12,21,96,115,65,17,14,TLN,3
